Date,Open,High,Low,Close,Volume,- SPREAD -
09-02-2021,91384.00,94545.85,90400.30,93751.25,2959,"4,145.55"
08-02-2021,91999.00,92599.90,89975.00,90810.10,2223,"2,624.90"
05-02-2021,93499.90,93599.95,90301.00,90698.70,2251,"3,298.95"
04-02-2021,91340.00,93768.10,90136.00,92242.70,2800,"3,632.10"
03-02-2021,92990.00,92990.00,89460.60,90030.20,2842,"3,529.40"
02-02-2021,89322.00,91949.75,89002.70,90790.00,2919,"2,947.05"
01-02-2021,85435.20,88713.00,83941.00,88200.80,2886,"4,772.00"
29-01-2021,88100.00,89406.40,83458.20,84293.55,2773,"5,948.20"
10-05-2022,68560.00,70895.95,67321.15,68673.95,699,"3,574.80"
28-01-2021,88400.00,89358.00,87179.10,87547.35,1667,"2,178.90"
27-01-2021,89700.00,90160.15,87500.00,88493.95,1882,"2,660.15"
25-01-2021,93250.00,93945.65,89152.20,89622.05,2675,"4,793.45"
22-01-2021,92200.00,94290.45,91386.45,92312.45,3725,"2,904.00"
21-01-2021,93500.00,96456.30,90639.20,91689.35,5511,"5,817.10"
20-01-2021,87880.00,94034.70,87616.65,92923.00,2936,"6,418.05"
19-01-2021,86000.05,87968.50,86000.05,87293.40,1395,"1,968.45"
18-01-2021,88000.00,88000.00,85116.55,85829.65,3464,"2,883.45"
15-01-2021,89310.00,89896.10,86404.80,87563.10,2075,"3,491.30"
14-01-2021,86550.00,89900.00,85800.10,88789.00,1496,"4,099.90"
09-05-2022,69500.00,69774.95,68361.00,68579.35,318,"1,413.95"
13-01-2021,86201.00,87575.00,85265.65,85631.30,2058,"2,309.35"
12-01-2021,83390.00,86999.95,81777.00,85742.25,3950,"5,222.95"
11-01-2021,80800.00,82959.95,80527.30,82508.15,3562,"2,432.65"
08-01-2021,77570.95,81350.00,77570.95,80656.60,2502,"3,779.05"
07-01-2021,79550.05,79550.05,77050.00,77364.90,887,"2,500.05"
06-01-2021,79283.85,79799.00,77675.45,78783.40,1236,"2,123.55"
05-01-2021,77777.00,79250.00,77677.30,79027.25,1659,"1,572.70"
04-01-2021,76580.00,78859.45,75900.05,78416.20,2114,"2,959.40"
01-01-2021,76171.50,76251.80,75629.15,76038.35,534,622.65
31-12-2020,76304.00,77368.45,75400.00,75712.40,1377,"1,968.45"
06-05-2022,70952.00,70952.00,69351.05,70065.50,241,"1,600.95"
30-12-2020,75699.95,77605.45,75255.95,77018.65,1292,"2,349.50"
29-12-2020,75955.00,75955.00,74900.00,75632.90,949,"1,055.00"
28-12-2020,76000.00,76840.20,75173.10,75406.60,786,"1,667.10"
24-12-2020,76181.25,76590.90,75822.00,75932.70,451,768.90
23-12-2020,76747.80,77239.20,75338.35,75819.80,1480,"1,900.85"
22-12-2020,75310.00,76658.25,73756.25,76167.10,904,"2,902.00"
21-12-2020,77266.00,77638.00,74668.90,75258.60,1046,"2,969.10"
18-12-2020,77950.00,78219.60,76622.95,77619.85,1095,"1,596.65"
17-12-2020,78931.55,79197.25,77100.00,77320.15,522,"2,097.25"
16-12-2020,77544.50,79100.00,77419.30,78510.05,989,"1,680.70"
05-05-2022,72599.95,72714.45,70950.00,71124.80,147,"1,764.45"
15-12-2020,77475.80,77526.40,76888.00,77261.00,364,638.40
14-12-2020,77866.60,78494.55,77363.40,77534.65,375,"1,131.15"
11-12-2020,78200.00,78337.75,77333.00,77866.60,496,"1,004.75"
10-12-2020,78880.00,78880.00,77265.05,77536.25,851,"1,614.95"
09-12-2020,79775.00,79775.00,78000.00,78328.60,597,"1,775.00"
08-12-2020,79698.40,79986.55,78921.25,79107.30,571,"1,065.30"
07-12-2020,78513.10,79944.15,78165.45,79504.55,1161,"1,778.70"
04-12-2020,79265.60,79575.60,78239.70,78706.50,1195,"1,335.90"
03-12-2020,79247.00,79727.50,78500.00,78805.50,873,"1,227.50"
02-12-2020,79762.45,79980.00,78666.60,79752.75,1569,"1,313.40"
